_id, date
66229f18f1092b3f3c5bfcff, 2024-06-11
66229f18f1092b3f3c5bfcbe, 2024-06-10
66229f18f1092b3f3c5bfd4f, 2024-06-10
66229f19f1092b3f3c5bfd8a, 2024-06-10
66229f19f1092b3f3c5bfda9, 2024-06-09
66229f18f1092b3f3c5bfc8a, 2024-06-08
66229f18f1092b3f3c5bfc70, 2024-06-07
66229f19f1092b3f3c5bfd7b, 2024-06-06
66229f18f1092b3f3c5bfd09, 2024-06-05
66229f19f1092b3f3c5bfdc7, 2024-06-04
66229f19f1092b3f3c5bfe3f, 2024-06-03
66229f18f1092b3f3c5bfcc1, 2024-06-02
66229f18f1092b3f3c5bfcc7, 2024-06-01
66229f19f1092b3f3c5bfdec, 2024-05-11
66229f18f1092b3f3c5bfce1, 2024-05-11
66229f18f1092b3f3c5bfce3, 2024-05-10
66229f19f1092b3f3c5bfdbb, 2024-05-12
66229f18f1092b3f3c5bfd2e, 2024-05-13
66229f18f1092b3f3c5bfcc8, 2024-05-14
66229f19f1092b3f3c5bfe51, 2024-05-15
66229f19f1092b3f3c5bfe7d, 2024-05-16
66229f18f1092b3f3c5bfcbc, 2024-04-17
66229f19f1092b3f3c5bfebc, 2024-03-18
66229f18f1092b3f3c5bfc67, 2024-02-18
66229f19f1092b3f3c5bfe02, 2024-01-11
66229f19f1092b3f3c5bfe98, 2024-05-19
66229f19f1092b3f3c5bfd84, 2024-05-14
66229f18f1092b3f3c5bfc6d, 2024-05-15
66229f18f1092b3f3c5bfcc5, 2024-04-14
66229f19f1092b3f3c5bfe36, 2024-04-13
66229f18f1092b3f3c5bfc7c, 2024-04-11
66229f19f1092b3f3c5bfe77, 2024-04-01
66229f19f1092b3f3c5bfd83, 2024-04-01
66229f18f1092b3f3c5bfcd2, 2024-04-01
66229f18f1092b3f3c5bfce3, 2024-04-01
66229f19f1092b3f3c5bfe94, 2024-03-01
66229f19f1092b3f3c5bfe59, 2024-03-02
66229f19f1092b3f3c5bfe04, 2024-03-12
66229f19f1092b3f3c5bfe64, 2024-04-14
66229f19f1092b3f3c5bfea6, 2024-05-15
66229f18f1092b3f3c5bfcee, 2024-04-17
66229f18f1092b3f3c5bfd1e, 2024-03-19
66229f19f1092b3f3c5bfeb9, 2024-04-20
66229f18f1092b3f3c5bfc5d, 2024-03-21
66229f18f1092b3f3c5bfd19, 2024-04-22
66229f19f1092b3f3c5bfe3b, 2024-06-23
66229f18f1092b3f3c5bfd35, 2024-05-24
66229f18f1092b3f3c5bfc92, 2024-02-25
66229f19f1092b3f3c5bfe23, 2024-01-26
66229f18f1092b3f3c5bfcb4, 2024-01-27
66229f19f1092b3f3c5bfdcb, 2024-01-28
66229f19f1092b3f3c5bfde6, 2024-01-14
66229f19f1092b3f3c5bfd86, 2024-01-17
66229f19f1092b3f3c5bfe0f, 2024-01-13
66229f19f1092b3f3c5bfe07, 2024-01-13
66229f19f1092b3f3c5bfdd1, 2024-01-17
66229f18f1092b3f3c5bfcf8, 2024-01-16
66229f19f1092b3f3c5bfdab, 2024-01-14
66229f18f1092b3f3c5bfd4a, 2024-01-19
66229f19f1092b3f3c5bfe85, 2024-01-20
66229f19f1092b3f3c5bfe7f, 2024-01-01
66229f19f1092b3f3c5bfd9a, 2024-01-02
66229f18f1092b3f3c5bfc7f, 2024-01-03
66229f19f1092b3f3c5bfe9c, 2024-01-04
66229f19f1092b3f3c5bfe1e, 2024-01-05
66229f19f1092b3f3c5bfeb2, 2024-01-06
66229f18f1092b3f3c5bfcbd, 2024-01-07
66229f18f1092b3f3c5bfd0e, 2024-01-08
66229f19f1092b3f3c5bfe3d, 2024-01-09
66229f19f1092b3f3c5bfe22, 2024-02-10
66229f19f1092b3f3c5bfe37, 2024-02-11
66229f18f1092b3f3c5bfd2c, 2024-08-12
66229f18f1092b3f3c5bfd0c, 2023-08-13
66229f19f1092b3f3c5bfe27, 2023-08-14
66229f18f1092b3f3c5bfc96, 2023-07-21
66229f18f1092b3f3c5bfd10, 2023-04-21
66229f19f1092b3f3c5bfe13, 2023-04-21
66229f18f1092b3f3c5bfc69, 2023-10-12
66229f19f1092b3f3c5bfe7b, 2023-01-11
66229f19f1092b3f3c5bfdbe, 2023-01-11
66229f18f1092b3f3c5bfc7b, 2023-01-14
66229f18f1092b3f3c5bfd53, 2023-01-15
66229f18f1092b3f3c5bfc66, 2023-01-17
66229f18f1092b3f3c5bfcf6, 2023-01-18
66229f19f1092b3f3c5bfe6d, 2023-01-19
66229f18f1092b3f3c5bfc81, 2023-01-18
66229f18f1092b3f3c5bfcdf, 2023-01-18
66229f19f1092b3f3c5bfeb8, 2023-01-13
66229f19f1092b3f3c5bfe61, 2023-01-17
66229f19f1092b3f3c5bfdb9, 2023-01-14
66229f18f1092b3f3c5bfca7, 2023-01-01
66229f19f1092b3f3c5bfe86, 2023-01-02
66229f18f1092b3f3c5bfcf4, 2023-02-03
66229f19f1092b3f3c5bfe06, 2023-02-04
66229f18f1092b3f3c5bfd5f, 2023-01-05
66229f19f1092b3f3c5bfde7, 2023-02-09
66229f19f1092b3f3c5bfe75, 2023-02-07
66229f19f1092b3f3c5bfe4d, 2023-02-08
66229f18f1092b3f3c5bfd56, 2023-02-09
66229f18f1092b3f3c5bfcad, 2023-02-10
66229f18f1092b3f3c5bfd5d, 2023-02-11
66229f18f1092b3f3c5bfd59, 2023-02-12
66229f19f1092b3f3c5bfd67, 2023-02-13
66229f18f1092b3f3c5bfd21, 2023-02-14
66229f18f1092b3f3c5bfd60, 2023-02-15
66229f19f1092b3f3c5bfe47, 2023-02-16
66229f18f1092b3f3c5bfc6a, 2023-02-17
66229f19f1092b3f3c5bfe09, 2023-02-17
66229f19f1092b3f3c5bfdd3, 2023-02-18
66229f19f1092b3f3c5bfd93, 2023-02-19
66229f19f1092b3f3c5bfda0, 2023-02-14
66229f19f1092b3f3c5bfd71, 2023-02-20
66229f18f1092b3f3c5bfd1a, 2023-02-21
66229f18f1092b3f3c5bfd41, 2023-03-23
66229f19f1092b3f3c5bfe67, 2023-03-25
66229f18f1092b3f3c5bfd14, 2023-03-04
66229f18f1092b3f3c5bfc64, 2023-03-08
66229f19f1092b3f3c5bfe80, 2023-02-21
66229f19f1092b3f3c5bfeb7, 2023-03-11
66229f18f1092b3f3c5bfc8c, 2023-03-12
66229f18f1092b3f3c5bfd4c, 2023-03-13
66229f19f1092b3f3c5bfe26, 2023-03-14
66229f19f1092b3f3c5bfde1, 2023-03-15
66229f18f1092b3f3c5bfd3c, 2023-03-16
66229f19f1092b3f3c5bfdc4, 2023-03-17
66229f19f1092b3f3c5bfd68, 2023-03-18
66229f19f1092b3f3c5bfe05, 2023-03-18
66229f18f1092b3f3c5bfc61, 2023-03-16
66229f19f1092b3f3c5bfdeb, 2023-03-16
66229f19f1092b3f3c5bfdd7, 2023-03-11
66229f18f1092b3f3c5bfcc4, 2023-03-11
66229f18f1092b3f3c5bfd47, 2023-03-18
66229f19f1092b3f3c5bfd6e, 2023-03-01
66229f18f1092b3f3c5bfd39, 2023-03-02
66229f19f1092b3f3c5bfde8, 2023-03-03
66229f18f1092b3f3c5bfd26, 2023-02-08
66229f19f1092b3f3c5bfd87, 2023-03-17
66229f18f1092b3f3c5bfc6f, 2023-04-15
66229f19f1092b3f3c5bfd6b, 2023-04-16
66229f18f1092b3f3c5bfd33, 2023-04-19
66229f18f1092b3f3c5bfd5e, 2023-04-17
66229f18f1092b3f3c5bfd29, 2023-04-17
66229f19f1092b3f3c5bfeb5, 2023-04-13
66229f19f1092b3f3c5bfdf5, 2023-04-12
66229f19f1092b3f3c5bfde0, 2023-04-11
66229f18f1092b3f3c5bfcae, 2023-04-11
66229f18f1092b3f3c5bfcb6, 2023-04-11
66229f18f1092b3f3c5bfce0, 2023-04-01
66229f19f1092b3f3c5bfdb4, 2023-04-08
66229f18f1092b3f3c5bfc6b, 2023-04-09
66229f19f1092b3f3c5bfe9b, 2023-04-05
66229f19f1092b3f3c5bfde3, 2023-04-06
66229f19f1092b3f3c5bfe3a, 2023-04-06
66229f18f1092b3f3c5bfd54, 2023-04-07
66229f19f1092b3f3c5bfd7f, 2023-04-08
66229f19f1092b3f3c5bfe99, 2023-04-08
66229f19f1092b3f3c5bfe8e, 2023-04-11
66229f19f1092b3f3c5bfde2, 2023-04-10
66229f18f1092b3f3c5bfc54, 2023-04-10
66229f18f1092b3f3c5bfcab, 2023-04-10
66229f19f1092b3f3c5bfe89, 2023-04-13
66229f18f1092b3f3c5bfd52, 2023-04-13
66229f19f1092b3f3c5bfe93, 2023-04-14
66229f19f1092b3f3c5bfe87, 2023-04-01
66229f19f1092b3f3c5bfe46, 2023-04-12
66229f18f1092b3f3c5bfc76, 2023-05-14
66229f19f1092b3f3c5bfeba, 2023-06-18
66229f19f1092b3f3c5bfdba, 2023-06-11
66229f19f1092b3f3c5bfe6e, 2023-06-11
66229f19f1092b3f3c5bfeb0, 2023-06-16
66229f19f1092b3f3c5bfe71, 2023-06-17
66229f19f1092b3f3c5bfe49, 2023-06-17
66229f18f1092b3f3c5bfca1, 2023-06-14
66229f18f1092b3f3c5bfd44, 2023-06-12
66229f19f1092b3f3c5bfd6c, 2023-06-13
66229f19f1092b3f3c5bfda6, 2023-06-17
66229f19f1092b3f3c5bfd72, 2023-06-18
66229f18f1092b3f3c5bfd45, 2023-06-19
66229f19f1092b3f3c5bfd89, 2023-06-04
66229f19f1092b3f3c5bfe73, 2023-06-05
66229f18f1092b3f3c5bfd4b, 2023-06-06
66229f19f1092b3f3c5bfe8a, 2023-06-07
66229f18f1092b3f3c5bfd50, 2023-06-08
66229f19f1092b3f3c5bfe7e, 2023-06-09
66229f19f1092b3f3c5bfea1, 2023-06-01
66229f18f1092b3f3c5bfd3f, 2023-06-02
66229f19f1092b3f3c5bfdea, 2023-06-03
66229f18f1092b3f3c5bfccf, 2023-06-04
66229f18f1092b3f3c5bfd58, 2023-06-08
66229f19f1092b3f3c5bfe2b, 2023-06-09
66229f19f1092b3f3c5bfd73, 2023-06-10
66229f19f1092b3f3c5bfd91, 2023-06-10
66229f19f1092b3f3c5bfe63, 2023-06-11
66229f19f1092b3f3c5bfd82, 2023-06-18
66229f18f1092b3f3c5bfd2a, 2023-06-21
66229f18f1092b3f3c5bfcd8, 2023-06-22
66229f19f1092b3f3c5bfe95, 2023-07-23
66229f19f1092b3f3c5bfdc1, 2023-07-24
66229f19f1092b3f3c5bfe7a, 2023-08-25
66229f18f1092b3f3c5bfd49, 2023-09-16
66229f19f1092b3f3c5bfd97, 2023-10-17
66229f19f1092b3f3c5bfe8b, 2023-11-18
66229f19f1092b3f3c5bfe41, 2023-11-19
66229f18f1092b3f3c5bfc8d, 2023-11-11
66229f19f1092b3f3c5bfeab, 2023-11-16
66229f18f1092b3f3c5bfc65, 2023-11-02
66229f19f1092b3f3c5bfdaa, 2023-11-14
66229f18f1092b3f3c5bfccc, 2023-12-14
66229f19f1092b3f3c5bfd90, 2023-12-02
66229f18f1092b3f3c5bfce9, 2023-12-31